01:12:11 /home/atlanssia/go/src/github.com/araframework/ara/router.go:71: router:initRouter()
01:12:19 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:15:40 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:20:16 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:20:18 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:20:19 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:20:20 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:23:33 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:24:58 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:25:25 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:27:43 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:28:18 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
01:28:55 /home/atlanssia/go/src/github.com/araframework/ara/router.go:194: found handler
